SMILES,Label
COC1=CC=C(C=C1)C(=O)Cl,1
CCCCC(C(CC)N)O,1
C1=CC(=CC=C1CCl)[N+](=O)[O-],1
ClC(=O)c1ccc(cc1)C(=O)Cl,1
C1CCC(C1)N,1
CCN(CC)CCN,1
CCN(CC)CCO,1
C1=CC=C(C=C1)CN,1
C1=CC=C(C=C1)OC(=S)Cl,1
CNC1CCCCC1,1
C=Cc1ccccn1,1
CCN1CCOCC1,1
CCCS(=O)(=O)Cl,1
C1=C(C(=C(C(=C1Cl)F)Cl)F)C(=O)F,1
C1CCC(CC1)NC1CCCCC1,1
CSC(=NC#N)SC,1
CCCCN(CCO)CCCC,1
CCCCN(CCCC)CCCN,1
C1=CC=C(C=C1)/C=C/C(=O)Cl,1
C1=CC=C(C=C1)N=C=O,1
C1=CC=C(C=C1)CC(=O)Cl,1
CN(C)Cc1ccccc1,1
CC(=N[Si](C)(C)C)O[Si](C)(C)C,1
CN1CCN(CC1)CCN(C)C,1
CCC1=NCCO1,1
CCCCCCCCCC1=CC=C(C=C1)O,1
CCCCC(CC)CN,1
CCN(CC)CCCN,1
C1=CC(=CC=C1CN)Cl,1
C/C=C/C(=O)Cl,1
C1CCC(C1)CCC(=O)Cl,1
CCCCC(CC)CN(CC(CC)CCCC)CN1C2=CC=CC=C2SC1=S,1
CCC(C)CC(=O)O,1
C(CN)CNCCNCCCN,1
CN(C)CCCNCCCN,1
Cc1ccc(O)c(C)c1,1
C1=C(SC(=N1)Cl)CCl,1
CN(CCCN)CCCN,1
CCCCC(CC)CNCC(CC)CCCC,1
CCCC(=O)OC(=O)CCC,1
Cc1ccc(O)cc1,1
Oc1ccc(Cl)cc1,1
CN1CCN(CC1)C,1
ClCC1CO1,1
C=CC(=O)OCC1CO1,1
CC(=C)C(=O)OCC1CO1,1
CCCCCCCCCCCCC1CC(=O)N(C1=O)C2CC(N(C(C2)(C)C)C)(C)C,1
CCCCCCCCCCCCC1CC(=O)N(C1=O)C2CC(N(C(C2)(C)C)C(=O)C)(C)C,1
BrCC=C,1
CCCCC(CC)COP(=O)(O)O,1
C=CC=O,1
C=CC(=O)OCCCCOC(=O)C=C,1
CC(C)(C)CC(=O)O,1
CCCN,1
NCC=C,1
C(COP(=O)(O)O)N,1
NCCN,1
OCC#C,1
ClCC=O,1
COCCl,1
C(=O)OO,1
CCCCOP(=O)(O)OCCCC,1
CC(CC(C)(C)C)CP(=S)(CC(C)CC(C)(C)C)S,1
CC(C)CCN,1
CC(=CC=O)C,1
CCCC(=O)O,1
OC(=O)CCCl,1
OC(=O)CCS,1
C1=CC=C(C=C1)P(C2=CC=CC=C2)Cl,1
CN(C)CCN,1
CN(C)CCO,1
CC(C)CC(=O)Cl,1
CC(CN(C)C)O,1
CC(C)NC(C)C,1
CC(C)OC(=O)Cl,1
CC(=O)OC(=O)C,1
C1CC(=O)OC1=O,1
O=C1OC(=O)C=C1,1
Cc1cccc(O)c1,1
Cc1cc(C)cc(O)c1,1
NC1CCCCC1,1
Oc1ccccc1,1
CN1CCNCC1,1
CN1CCOCC1,1
Cc1ccccn1,1
CCCCCCCC/C=C\CCCCCCCC(=O)NCCCN(C)C,1
CCCCC(=O)O,1
CN(C)CCCN,1
CCCOC(=O)Cl,1
CCCCN,1
C(CN)CN,1
CNCCO,1
COCCN,1
CCNCC,1
CN(C)CCN(C)C,1
CCCCCN,1
C(CCN)CN,1
OCC#CCO,1
CC(C)CCCCCCC1=CC=CC=C1O,1
CCCCNC,1
CCNCCO,1
C1CNCCN1,1
C1CCNCC1,1
C1COCCN1,1
CN(C)CCCN(C)C,1
CC(C)CNCC(C)C,1
CC(O)CNCC(C)O,1
CCCCCCC(=O)O,1
CN(C)CCCCCCN(C)C,1
C(CCCCC(=O)Cl)CCCC(=O)Cl,1
CCCCCCN,1
O=CCCCC=O,1
