SMILES,Label
C/C=C/C=O,1
CC1=CC[C@H](CC1)C(=C)C,1
CC1=CC=C(C=C1)OCC2CO2,1
Oc1ccccc1O,1
O=c1[nH]sc2ccccc12,1
COCCOC,1
Cc1ccc(cc1N=C=O)N2C(=O)N(c3ccc(C)c(c3)N=C=O)C(=O)N(c4ccc(C)c(c4)N=C=O)C2=O,1
C1=CC=C(C=C1)N=NC2=C(C=C(C=C2)N)N,1
C1=CC(=CC=C1CC2=CC=C(C=C2)N=C3N(C(=O)N3C4=CC=C(C=C4)CC5=CC=C(C=C5)N=C=O)C6=CC=C(C=C6)CC7=CC=C(C=C7)N=C=O)N=C=O,1
Cc1ccc(cc1N=C=O)N2C(=O)N(c3ccc(C)c(c3)N=C=O)C2=O,1
C1=CC(=CC=C1CC2=CC=C(C=C2)N3C(=O)N(C3=O)C4=CC=C(C=C4)CC5=CC=C(C=C5)N=C=O)N=C=O,1
O=S1(=O)CCCO1,1
C1=CC(=C2C(=C1N)C(=O)C3=C(C=CC(=C3C2=O)N)N)N,1
CC(=CCC[C@](C)(C=C)OC(=O)C)C,1
CC1=CCCC(C1/C=C/C(=O)CCC=C)(C)C,1
CC(=CCC[C@@](C)(C=C)O)C,1
CC1(CCC(=CC1)CCC=O)C,1
CCCCCCCCCCN(CCCCCCCCCC)CCCCCCCCCC,1
CCCCCCCCCCCCCCCCCCCCCCNCCCCCCCCCCCCCCCCCCCCCC,1
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,1
CCC12COCN1COC2,1
C1C2(COCN2CO1)CO,1
CCCCCCCCCCCCCCCCNCCCCCCCCCCCCCCCC,1
CC1=CCCC(C1/C=C/C(=O)CC(C)C)(C)C,1
CCCCCCCCN(CCCCCCCC)CCCCCCCC,1
CCC(=O)/C=C/C1=C(CCCC1(C)C)C,1
CCC(=O)/C=C/[C@H]1C(=CCCC1(C)C)C,1
CCC(=O)/C=C/C1C(C=CCC1(C)C)C,1
CCCCCCCCCCCCCCCCCCOCCCN(C)C,1
ClCC=C,1
CCCCCCCCCCCCCCNCCCCCCCCCCCCCC,1
OCC1CO1,1
CCC=CCC=CC=CC(=O)OCC,1
CC1(C(=O)N(C(=O)N1CO)CO)C,1
CC(=CCC/C(=C/CO)/C)C,1
CCCCC(CC)COC(=O)C=C,1
CC1CCOC(C1)C2=CC=CC=C2,1
CC(O)CN(CC(C)O)CC(C)O,1
C=CCOC(=O)/C=C/C1=CC=CC=C1,1
CN1CCCC1=O,1
CCCCCCCCCc1cccc(OCCCOCCOCCOCCOCCOCCOCCOCCOCCOCO)c1,1
CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,1
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1
CCCCCCCCCC1=C(C(=CC=C1)CCCCCCCCC)OCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O,1
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,1
CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCO,1
CCCCCCCCCCCCOCCOCCOCCOCCO,1
CC1CC(=CC(C1C=C(C)C(=O)C)C)C,1
CC1=C(C(CCC1)(C)C)C=C(C)C(=O)C,1
CC1C=C(CC(C1C)/C=C(\C)/C(=O)C)C,1
CC(=O)/C=C/C1C(=C)CCCC1(C)C,1
CC1CC(=CC(C1/C=C/C(=O)C)C)C,1
CC1CCC(=C(C1(C)C)/C=C/C(=O)C)C,1
CC1CC=C(C(C1(C)C)/C=C/C(=O)C)C,1
CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,1
CC1=CCCC(C1/C=C/C(=O)C)(C)C,1
CC1C=C(CC(C1C)/C=C/C(=O)C)C,1
CC1C(C2=C(C1(C)C)C(=O)CCC2)(C)C,1
CC1=CC=C(C=C1)S(=O)(=O)N=C=O,1
CCC(=O)/C=C/C1C(CC(=CC1C)C)C,1
CCC(=O)/C=C/C1CC(=CC(C1C)C)C,1
CC(C)(C)c1ccc(O)cc1,1
C=CC1CCC=CC1,1
CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)N,1
CCCCCCCC/C=C\CCCCCCCCNCCCCCCCC/C=C\CCCCCCCC,1
OCC=C,1
C=CCOCC1CO1,1
CCCCCCCCCCCCCCCCCCN,1
CCCCCCCCCC(CCCCCCCC)N(C(CCCCCCCC)CCCCCCCCC)C(CCCCCCCC)CCCCCCCCC,1
C1=CC(=C(C(=C1)Cl)Cl)N,1
Cc1cccc(N)c1C,1
CC1=CC(=C(C=C1)C)N,1
CC1=C(C=C(C=C1)N)C,1
O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1,1
CC(C)(C1=CC(=CC=C1)C(C)(C)N=C=O)N=C=O,1
C1=CC=C(C(=C1)CC2=CC=C(C=C2)N=C=O)N=C=O,1
CC(Cc1ccc(cc1)C(C)(C)C)C=O,1
C1=CC=C(C=C1)C(=O)O,1
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],1
O=C1CCO1,1
CC1=CCC2CC1C2(C)C,1
CC1(C)C2CC1C(=C)CC2,1
CC1=CCC2C(C1)C2(C)C,1
CCCCOCC1CO1,1
CCNC(=S)OC(C)C,1
CC(=CCCC(=CC=O)C)C,1
CCCCCCCC1C(CCC(C1CCCCCCCCCN=C=O)CCCCCCCCCN=C=O)CCCCC,1
C[C@H]1CC[C@@H](C(=O)C1)C(C)C,1
Clc1ccccc1,1
ClC(Cl)Cl,1
ClCCl,1
O=CC=O,1
BrCCBr,1
CCCCCCCCCCCCOCCO,1
CCCCCCCCCC1=CC=CC=C1OCCO,1
OCCN(CCO)CCO,1
OCCNCCO,1
CCCCCCCCCCCCOCCOCCO,1
CCCCCCCCCCCCOCCOCCOCCO,1
CCCCCCCCCc1ccc(OCCOCCOCCOCCO)cc1,1
ClC=C(Cl)Cl,1
C1=COC=C1,1
C1CCOC1,1
CCCCCC(=Cc1ccccc1)C=O,1
CCCCCC(CCC)C#N,1
CC(C)COC(=O)C(=C)C,1
C1=CC=C(C=C1)COCO,1
CI,1
COC(=O)C(=C)C,1
Cc1ccc(cc1N=C=O)N=C=O,1
Cc1cccc(C)c1,1
C1=CC=C(C=C1)NC2=CC3=CC=CC=C3C=C2,1
CCCCOC(=O)C=C,1
CCCCCC,1
CCCCCCC(=Cc1ccccc1)C=O,1
CC1(COCN1)C,1
CCCCC(CC)COCC1(COC1)CC,1
C(Oc1ccccc1)C1CO1,1
CC(C)(C)OCC1CO1,1
CCCCCCCCCCC1CO1,1
CCCCCCCCCCCCC1CO1,1
CCCCCCCCCCCCCCCCC1CO1,1
CCCCCCCCCCCCCCCC1CO1,1
CCCCCCCCCCCCCCC1CO1,1
Cc1ccccc1C,1
CCCCCCCC\C=C/CCCCCCCCOCCO,1
Cc1ccc(C)cc1,1
COc1cc(C=CC)ccc1O,1
C1=CC(=CC(=C1)O)[N+](=O)[O-],1
Oc1ccc(Cl)cc1Cc1ccccc1,1
NNc1ccccc1,1
